desc
"西湖边的一个小小过街通道竟然美的有些过分。之所以如此吸引人，是因为玻璃顶面非常干净，让整个空间明亮通透。杭州真的是一座在细节上让人喜欢的城市。这里的绿色特别舒适，充满了治愈感。每天都能发现新的惊喜。从这个通道走到西湖的南山路，沿途有一大片高大的梧桐树，中国美术学院也近在咫尺，散步非常惬意。

拍摄建议：使用手机拍摄或携带广角镜头，最好选择中午有阳光的时候前往，这样可以捕捉到绝美的夏日感觉。下雨天也不错，雨水落在屋顶上形成的圆圈很有氛围感。

位置：杭州定安路涌金门地下通道

我是大之喵，一个热爱探索城市的旅行者。

#记录我的城市# #自然风光分享# #假日citywalk# #杭州旅游# #西湖# #浪漫生活的记录者# #周末去哪儿# #治愈系# #氛围感# #暑你会晒#"
"接下来的杭州将是春和景明🌸。比起人挤人的西湖，樱花季的中国院子更是美到极致。小桥流水、亭台楼阁，栽满了樱花。江南庭院的中式美学令人赞叹不已！等到蓝调时分，樱花在暖光烘托下，冷暖对比，更加梦幻🌙。下个月，约上小伙伴，我们樱花树下不见不散。

🌸 中国院子·梦溪苑
1. 五柳巷
2. 鼓楼
3. 十五奎巷
4. 大马弄
5. 小河直街（体验杭州最原始的街道，有一些文艺感十足的小店，穿着新中式拍照不要太搭）

### 杭州怎么穿出片？
- **新中式**是拍照出片的最佳选择。
- **打卡前**，真的不要错过杭州这家本地工厂店，聚集了100多个工厂的当季新款。
- 衣服非常棒！件件明码标价，一件也是出厂价，羊绒山羊绒800起，新中式基本6-7百。
- 还有专业搭配师帮忙搭配，拍出来效果非常好。

#### 工厂店地址：
杭州市滨江区兴耀大厦1606室（地铁6号线到江汉路站下）

### 杭州地铁沿线景点
- **1号线**：城隍阁景区、南宋御街、河坊街、京杭大运河
- **2号线**：西湖、良渚文化村
- **3号线**：浙江省博物馆、西溪湿地国家公园、宝石山植物园
- **4号线**：丝绸博物馆、六和文化公园
- **5号线**：京杭大运河博物馆
- **6号线**：云栖小镇、灵山景区、宋城

### 美食建议
- **想吃蟹**：去蟹叁寳·蟹黄捞饭（杭州武林店）
- **想吃小吃**：玖仟龙游小吃街、武林夜市和大马弄，各式各样的小吃都有

### 抵达杭州的交通
- **机场**：杭州萧山国际机场
  - 从机场开车到西湖大概需要1小时左右，有机场大巴和地铁，都非常方便。
- **火车**：杭州站、南站、北站、东站、西站
  - 建议大家买到杭州站，出门不远就是西湖，交通方便。"
"在国大城市广场后面隐藏着一条非常有特色的步行街。这里的店铺虽小却精致，非常适合和朋友们一起来逛。以下是一些推荐的店铺：

1. **DONUT STORE古着** - 美式复古古着店，店内商品种类繁多，适合寻找独特服饰的你。店内外都有许多拍照的好地方，如涂鸦墙。

2. **HKCAT** - 可以与猫咪互动的甜品店，装饰风格十分可爱，吸引了很多穿着洛丽塔服装的顾客前来。店内还有拍立得和小卡片拍摄服务。

3. **杭州鹦鹉托儿所** - 这里可以近距离接触鹦鹉，体验与鸟类亲密接触的乐趣。鹦鹉们不怕人，会主动停留在游客身上。

4. **DAY-DAY-OFF** - 这家店的装修风格独特，员工也非常友好，会详细介绍每种饮品的特点。环境舒适，适合悠闲地度过一个下午。

5. **蓝鸽** - 这家甜品店采用了首尔流行的蓝色调，装饰风格清新淡雅。因其高人气，可能需要排队等待，但它确实值得一试。

6. **小野莓杂货铺** - 店内空间宽敞，但总是有很多顾客。每一处都适合拍照，建议选择工作日前往，避免人流高峰。

7. **647号** - 这家店的装修灵感来源于哈利波特，非常适合喜欢魔法主题的朋友们。这里还提供DIY魔杖、香薰等手工艺品制作体验。

8. **CODE3** - 一家韩国风格的买手店，店内商品多样，由一位年轻的老板经营。

9. **KISICS** - 一家时尚买手店，特别适合男性顾客，店内服饰设计独特，个性十足。

这些店铺都位于武林广场地铁站1号线E出口步行约660米的拾里步行街上。希望你在杭州的这次购物和游玩之旅能够收获满满！"
"就在临平，快冲啊！

#杭州 #杭州周末去哪儿 #杭州探店 #杭州买衣服 #杭州周末去哪玩 #杭州Citywalk #杭州服装 #杭州古着店 #杭州拍照 #古着探店 #宝藏店铺 #私藏店铺 #女装实体店"
"春节来杭州除了去西湖，还可以体验一条充满老城烟火气的年味citywalk线路。行程轻松不累人，地铁直达，好吃好玩好逛，还可以逛逛南宋宫殿。

👣详细路线：
江城路地铁站 - 德寿宫 - 鼓楼 - 大马弄（逛吃逛吃） - 河坊街 - 吴山广场地铁站

🌟推荐打卡：
#德寿宫#：不去北京也能拍出故宫即视感，北出口的红墙吸引了大批摄影爱好者，穿上汉服旗袍非常出片。尤其阳光洒在红墙上光影斑驳，很有意境。最近新添了很多年味打卡装置，年味十足！这次带娃来参观体验再度升级，博物馆推出AR眼镜导览：
- 带着眼镜逛博物馆，能够看到额外的信息、动画。同时增强了展品的故事讲述和对背景的理解。全程讲解，能全面生动地了解文物介绍，不再是走马观花。
- 时不时还有传送门，互动性强，跟着导览逛博物馆趣味十足。
- 在标志性的红墙下，AR生动还原宋高宗、宋孝宗的故事，朝堂议事场景栩栩如生，游客可近距离观赏他们赏花、赏画，还能看到宫女在走廊吹拉弹奏，仿佛穿越回了那个繁华时代。

#大马弄#：杭州烟火气十足的菜市场，有很多地道的杭州美食小吃，挂满了酱鸭咸鱼等年货，整条巷子虽不大，但非常好逛。每次去都买了超多好吃的。

#鼓楼#：大牌坊进来，就是南宋御街和大井巷，有很多特色咖啡店和文艺小店，很好逛。南宋书房这里也是一大打卡点，非常有特色的书店。

#河坊街#：虽然商业气息浓厚，但好逛的店还是很多。不仅是一条古老的街道，也是杭州千年商贸文化的缩影，还有很多有趣的博物馆和主题文化展馆！

#吴山广场#：老杭人来休闲放松的好地方，景色优美，游玩景点集中，交通方便！也是非常好的遛娃地方，主页有详细的游玩攻略！

#杭州遛娃好去处# #杭州新年# #杭州年味# #杭州拍照# #杭州Citywalk# #杭州旅游# #西湖旅游攻略# #不早起旅行日记# #新年版citywalk# #硬控老外的中式旅行地# #西湖# #灵隐寺祈福# #新年旅行第一站# #出发就是最好的计划# #反向旅行出门溜溜# #藏在小城里的冬天# #Rokid# #我的育儿关键字# #杭州春节好去处# #新春接福神#"
"不想走路又想Citywalk的姐妹们有福了！这条杭州宝藏老街Citywalk路线终于是被我找到了，走完下来步数还不到五千步，还有超多店铺等你发掘，建议收藏备用。

- 景区没有行李寄存，而且老街都是石板路，行李箱非常难拉。
- 可以到杭州就把行李交给我们，替您送去酒店；也可以最后一天退房时把行李放在酒店，我们替您送去车站机场存好。
- 全程不用拉行李，比别人多玩6小时。
- 想要试试看的姐妹，联系我吧～

Citywalk路线：
定安路-凤凰寺-南宋御街-河坊街-杭州博物馆-鼓楼-十五奎巷-德寿宫-胡雪岩故居。
全程走路时长不超过1小时，懒人非常友好，而且一路都是特色小店和本地小吃，适合逛吃逛吃。

- 凤凰寺：09:00-17:00开放，周五闭馆，中国沿海四大伊斯兰教清真古寺之一。
- 南宋御街：南宋都城临安的主要街道，如今是杭州体现南宋城市风貌的重要老街。
- 河坊街：杭州“五杭”（杭粉、杭剪、杭扇、杭烟、杭线）出于此地，杭州特色店铺一百余家。
- 杭州博物馆：09:00-16:30开放，周二闭馆，镇馆之宝战国水晶杯。
- 鼓楼：明代建筑形制，杭州地标建筑之一。
- 十五奎巷：感受老杭州的生活气息。
- 德寿宫：09:30-17:30开放，宋代极简美学，红墙很出片。
- 胡雪岩故居：08:00-17:00开放，门票20元，既富有中国传统特色，又具有西方风格。

使用新镖局行李寄送服务：
- 无需等待：预约成功后，行李放在酒店前台、寄存点即可离开，无需等待镖师到来。
- 多玩6小时：不用去找地方存行李，返回拿行李，多玩半天。
- 空手游玩：全程不拉行李，爬楼、陡坡、暴雨、烈日都无所谓。
- 不计大小重量：使用寄送，行李箱不计大小、重量，可放心装箱预约。

需要试试看的姐妹，联系我吧～"
"发现一个非常适合citywalk的小众街区，强烈推荐给爱拍照的朋友们！这个街区色彩丰富、场景多样，随手一拍就是大片。街区亮点包括特别有创意的涂鸦墙、吊桥、蓝色楼梯、屋顶视角等，每个角落都藏着惊喜。此外，还有风格各异的咖啡馆、杂货铺、服装店，让人有种在逛“迷你艺术村”的感觉。

**拍照机位推荐：**
1. 涂鸦墙：ins风满满，随手凹造型都是酷酷的街拍风。
2. 二楼视角：走上吊桥拍建筑，蓝色楼梯和复古房顶特别有空间感，简直是拍腻传统机位的救星。
3. 店铺门口：每家小店的门面设计都很用心，尤其是杂货铺门口，氛围感十足。

**关于孩子穿搭建议：**
这次给小朋友穿了小猪班纳的机能鞋，不得不说，真的很适合小朋友户外活动！鞋底特别舒服，跑了一天完全没有喊累，是名副其实的遛娃神器。一双舒适的鞋子，才能让小朋友更热爱户外活动。而且搭配简单的日常穿搭，既童趣又耐看。

**详细信息：**
- **地点**：萧然山街
- **交通**：园区有停车场，但车位不多，实在停不到可以去对面。
- **周边打卡**：五七公社和东巢艺术公园也在附近，可以安排多个景点。

姐妹们，带上相机、娃和好心情出发吧！"
"新年将至，大马弄的年味儿正浓。一整条弄堂里人来人往非常热闹，热门年货琳琅满目，美食小吃香气四溢，都是老底子杭州味。空气中弥漫着浓浓的烟火气，仿佛回到了小时候逛街赶集的场景。

推荐几家好吃的店：
1. 蒋氏酥鱼：刚出锅的一定要趁热吃，酥鱼炸得酥脆，配上特制的调料汁，很好吃，也不腻。
2. 侯大姐葱包烩：春卷皮裹着油条和小葱经过高温压过之后香味融合在一起，抹上侯大姐秘制酱，一口下去幸福感满满。
3. 游埠豆浆：杭州老底子味道，特色是油条和咸豆浆。刚出锅的油条炸得很脆，烧饼也很好吃。简简单单一顿完美的早餐。
4. 泮芳春煎饺：米其林煎饺，底层焦香，肉汁鲜甜，搭配米醋一口爆汁。另外咸豆脑和拌面味道也不错。
5. 周萍粽子：开了十几年的粽子店，现包现煮，粽子很大只，趁热要了一个蛋黄肉粽味道刚刚好，肥肉的口感像果冻。豆沙馅的也很好吃，软糯香甜。
6. 三毛烤鸡：和吴山烤禽并列为杭州最好吃的辣鸡，先腌制后烤，皮烤得很香很脆，吃起来鲜嫩多汁，有股葱香夹着鸡皮的焦香。回家用烤箱180度烤5分钟口感更佳。

路边不知名的摊位上售卖的瓜子炒货、甜酒酿、野山梨、八宝饭、杭州卷鸡、春卷、蛋饺味道也都不错！

如果是特意来玩，推荐一条适合步行的City Walk路线：
五柳巷 → 德寿宫 → 大马弄 → 城隍牌楼 → 中山南路 → 鼓楼 → 大井巷 → 河坊街

这一路都是老底子的杭州城，绝对不虚此行。"
"线路：京杭大运河博物馆➡拱宸桥➡桥西历史文化街区➡刀剪剑博物馆➡伞博物馆➡工艺美术馆➡小河公园➡小河直街（也可反向游玩，路线灵活）

- 京杭大运河博物馆：国内首座以运河文化为主题的专题博物馆。（7个盖章点，“龙腾四海”彩色章很好看！）
  - 开放时间：9:00-16:30（周一闭馆）（全年免费，个人及小团队无需预约）

- 拱宸桥：“一座拱宸桥，半部杭州史”，杭州古桥中最高最长的石拱桥，横跨运河，气势恢宏。

- 桥西历史文化街区：既有现代工业发展的痕迹，也保留着街巷里弄，充满文化气息又小资，很适合逛逛吃吃。

- 刀剪剑博物馆：以“物开一刃为刀，两面开刃为剑，双刀相交为剪”的独特文化为主题，展现刀剪剑的独特魅力。（7个盖章点）

- 伞博物馆：以“伞”为专题的博物馆，展示“伞历史、伞文化、中国伞业与伞艺”。（7个盖章点）

- 工艺美术馆：以“古运河、旧厂房、老工艺”为最大特点，展示雕塑、陶瓷等民间工艺美术品。（15个盖章点）
  - 开放时间：9:00-16:30（周二闭馆）（非周末、非节假日，个人参观免预约，直接使用身份证件原件或社保卡刷卡入馆）

- 小河公园：设计爱好者强推！老厂房大油桶工业风，超级出片！里面有星巴克和摩登主妇，还有小码头咖啡店，文艺范儿十足~

- 小河直街：街道比较窄，如果想拍簪花写真的话，一定要来小河直街，特别适合打卡拍照~ 

#旅游推荐 #国内旅游日常 #博物馆 #值得一去的博物馆 #历史文化 #人文景点分享 #citywalk #杭州旅游"
"如果你在杭州，晚上想出去走走并欣赏夜景，但还没有决定去哪，可以参考这篇攻略。花费3小时为你整理了杭州晚上City walk的夜景打卡地点，无论是下班散步、拍照打卡还是周末出游都非常合适。

### 西湖夜游
- **西湖音乐喷泉**
  - 时间：周一至周日 19:30
  - 时长：约 15 分钟
  - 价格：免费
- **雷峰塔夜景**
  - 开放时间：08:00 - 20:00
  - 门票：40元
  - 备注：亮灯后景色迷人
- **西湖夜游船**
  - 码头：少年宫、五公园、二公园、一公园
  - 时间：周日至周四 18:30 - 21:00；周五周六 18:30 - 21:30
  - 价格：50 - 90元
  - 途经景点：白堤、平湖秋月、苏堤、三潭印月、雷峰塔、柳浪闻莺

- **武林夜市**
  - 地址：凤起路地铁站B口步行500米
  - 备注：美食小吃丰富

### 小河直街夜游
- **小河直街 Citywalk**
  - 备注：仿古建筑街道，周末节假日有集市，充满杭州历史风情
- **京杭大运河夜游船**
  - 出发地：武林门码头至拱宸桥
  - 开航时间：19:00、19:30、20:20、20:40
  - 价格：120元
  - 备注：沿途欣赏大运河两岸夜景

### 钱塘江夜游
- **钱塘江夜游船**
  - 出发地：滨江码头
  - 时间：18:00、19:00、19:20、20:20
  - 价格：128元起
  - 途经景点：滨江码头、钱江龙、杭州印、西兴大桥、奥体中心、杭州之门、日月同辉、远眺复兴大桥、钱王射潮
  - 备注：往返一小时，中途不下船
- **钱江新城灯光秀**
  - 时间：周五至周六 18:30、19:30；周日至周四 19:30
  - 观赏点：城市阳台
- **大小莲花打卡**
  - 备注：沿钱塘江散步，可打卡杭州奥体、杭州之门，夜景拍照效果极佳

希望这些信息能帮助你更好地享受杭州的夜晚！"
"又到了杭州绝美的春天，二月兰、郁金香、樱花陆续开放，太适合踏春旅行了。分享5条我走过的适合春天的Citywalk路线，如果你来杭州，一定要走一走。

**路线1：西湖Citywalk路线**
- 净慈寺 -> 太子湾公园 -> 浴鹄湾 -> 乌龟谭 -> 茅家埠 -> 1站8元的西湖游船到达花港观鱼 -> 2站西湖观光车经过苏堤、孤山、白堤、断桥到达北山街。
- 导航到净慈寺或公交坐到净寺站。

这条路线结合了西湖秘境路线和赏花路线，结合了西湖游船、西湖观光车，无论晴天还是雨天，都能让你不走冤枉路，感受西湖真正的美。

**路线2：徒步吸氧茶山路线**
- 梅家坞 -> 十里锒铛 -> 龙井村 -> 九溪十八涧 -> 九溪烟树。
- 导航到梅家坞公交站，车子可停对面停车场。

这是杭州本地人最爱的徒步吸氧茶山路线，一路茶田、古道、溪水潺潺，非常舒适美好。爬到山顶，可以俯瞰西湖和茶山美景。

**路线3：杭州小九寨**
- 光明寺水库 -> 西山森林公园 -> 龙尾巴山塘水库。
- 导航到光明寺水库，车子停在茶山边上；公交：龙坞站。

春天来这里特别漂亮，人很少，可环茶山徒步骑行，也可以在这里露营野餐，非常美丽。

**路线4：柳浪闻莺 - 长桥溪水生态公园 - 中国丝绸博物馆 - 八卦田 - 玉皇山**
- 导航到柳浪闻莺。
- 这条路线中，柳浪闻莺人少，中国丝绸博物馆很漂亮，八卦田春天种满了各种蔬菜。玉皇山可开车到达山顶，可俯瞰八卦田、钱塘江及西湖美景。

**路线5：湘湖**
- 跨湖桥遗址博物馆 -> 湖山广场 -> 开元森泊 -> 先照寺。
- 跨湖桥遗址博物馆可带娃了解千年历史，湖山广场有大吊桥，沿湖边露营野餐，非常惬意。开元森泊有免费的芙罗拉乐园，可带娃喂羊驼、梅花鹿。先照寺可开车直达山顶，俯瞰三江一湖美景。

**游玩Tips**
- 每条路线都很适合春天走。
- 除了路线1，其他路线很适合自驾来，车子可停停车场，非常方便。
- 自驾游玩时，我们喜欢给多宝带上抗饿的小零食，如水果、饮料、饼干等，无穷家的鸡翅、卤蛋多宝特别喜欢吃，在来的路上就忍不住吃起来了。
- 记得穿着舒适的鞋子，杭州春天温差较大，带上外套，冷了就脱，热了及时穿上哦。

我是多宝妈妈，关注我，带你玩杭州。"
"交通便利、近西湖、性价比高，来杭州玩，一定别错过这四家酒店！

第一家：就在西湖边上，紧靠湖滨银泰in77，与西湖只隔一条马路，走路仅3分钟。楼下就有地铁和公交，去哪里都很方便。房间古色古香，很有韵味。卫生间干湿分离，还提供贴心早餐。

第二家：楼下就是太合，往前300米就是城西银泰。出门就是地铁，吃喝不愁。这家loft有十几种房型，人均只需90元。设备齐全，包括投屏冰箱，洗漱用品也是品牌产品。隔音效果好，床和枕头也很舒适。入住是自助式的，非常适合独自出行。

第三家：独栋设计师酒店，环境优雅。一楼有咖啡厅，拍照很出片。交通便利，离武林广场、西湖、湖滨都很近，附近是商圈。全屋都是智能家居，马桶和窗帘都是自动的。还有两个单独的隔间，新风系统也很有用。

第四家：经过长白山雪后，来到吴邪居住的河坊街。稻米必打卡，有很多留言，还有实体书。这是一幢充满南宋古韵的木质小楼，很有氛围。旁边是西泠印社，去河坊街、西湖、南宋御街等景点，步行即可到达。设施齐全，有浴缸和投影，床垫也很舒适。傍晚可以和朋友去楼外楼品尝西湖醋鱼，非常惬意。

如何预订这四家酒店？
1. 点开此帖右上角，复制链接。
2. 下载去哪儿旅行APP。
3. 打开APP，在首页粘贴链接进行搜索。
4. 还有平台通用优惠券可领取，下单前记得使用。

不合适的话也可以选择其他酒店，优惠券全国通用，快来薅羊毛吧！

图文已授权@去哪儿网，请不要误判。"
"杭州半天Citywalk！我不允许没人知道这条路线，真的仿佛在A市～还能看到落日余晖，简直不要太美了！

- **城市阳台**：建议6点的时候过去，近期的落日基本上是7点，可以看到很漂亮的落日余晖。大莲花、杭州之门倒映在钱塘江里，隔壁还有大金球！实际晚霞最佳观赏地，晚上还会有灯光秀哦～

- **万象城**：gaga门口的位置很适合街拍，妥妥的都市大片。

- **来福士**

- **滨江·潮观凤起**：位置绝佳的观景房，在楼上就可以俯瞰整个钱塘江的景色～大平层不要太香了！地理位置优越，下楼就是各种商业综合体，还有公园！设备都很齐全～

- **CBD森林公园**：有超多花海！木绣球、彩绣球……

- **501广场**：商业综合体，夜景很美，晚上还有驻唱哦

#杭州探店# 
#杭州逛街# 
#杭州citywalk# 
#citywalk# 
#周末去哪儿# 
#我的日常# 
#杭州旅游# 
#城市浪漫地标打卡# 
#记录我的城市# 
#城市探寻计划#"
"来杭州除了西湖之外，这条小众的City Walk路线也值得一探。它人少景美，一边是老城的烟火气息，一边是自然风光，非常舒适惬意。

### 我的路线
- 十五奎巷 → 晓霞弄 → 胡雪岩故居 → 伍公庙 → 城隍阁 → 江湖汇观亭 → 积义亭 → 古望江门附近

### 推荐打卡点
1. **十五奎巷**  
   这里的晓霞弄是经典的打卡地之一，烟火小巷尽头是望仙阁，充满老杭州的气息。
   
2. **胡雪岩故居**  
   一个具有江南园林风格的宅子，小桥流水，极具中式传统美学。
   
3. **伍公庙**  
   一座因伍子胥而得名的清幽小庙，两进院落三个殿堂，旁边可俯瞰南宋御街。
   
4. **城隍阁**  
   可以看到整个西湖，还能拍摄到独特的雷峰塔，非常适合散步。
   
5. **江湖汇观亭**  
   从这里可以看到西湖和城隍阁，用亭子作为框架拍照，效果绝佳。
   
6. **积义亭**  
   新晋的“绿野仙踪”打卡点，从江湖汇观亭沿小路返回，雨天更加迷人。

这条步行路线非常轻松，许多杭州本地人每天早晨都会去走，老人和小孩都不会觉得累。冬天徒步时，记得保暖，可以选择穿羽绒内胆的冲锋衣，如蓝步品牌，既保暖又轻便。

---

希望这个路线能为你的杭州之旅增添更多乐趣！"
"大兜路今年或成年度黑马，好卷一点都不佛，很有意思值得一逛。

▪️路线：香积寺→逛展→下午茶→晚餐→大兜路历史文化街区

▪️香积寺：安静而不僻静，热闹但不喧闹，隐于市区，据说素斋很好吃，门票20元/人。

▪️逛展：富义仓展示馆，英蓝中心香水展，中国扇博物馆、伞博物馆、刀剪剑博物馆都在附近，逛展人的天堂！

▪️下午茶：金鱼窗口，emoji同款桃子冰🍧，大兜路真的太超前了，拍照打卡很合适。

▪️中饭/晚餐：随机走进了一家餐厅，好city啊，坐在窗前很松弛，既有融合菜，也能微醺一下，盲点也没踩雷。

▪️大兜路历史文化街区：比起小河直街，这里更适合闲逛，沿街都是各种有特色的店铺，大运河就在边上，很有历史韵味。

#杭州citywalk# #杭州旅游# #大兜路# #杭州金鱼窗口# #杭州下午茶# #杭州咖啡店# #杭州吃饭好去处# #周末去哪儿# #杭州美食# #小酒馆#"
"之前的西湖游船、水上巴士攻略，很多人点赞收藏，并询问如何规划路线。结合我走过的路线和近期的活动，整理了这份攻略，你可以根据喜好自由组合。

**✅西湖一日游（图2）**
- 钱王祠（迎春花展+赏梅）→三潭印月→花港观鱼→雷峰塔或净慈寺→苏堤（观光车）→断桥→武林夜市或嘉里中心

这条线路串起了五个“西湖十景”，坐船游岛+观光车，轻松不累。
- 避开人流量最大的龙翔桥站，可以观赏新春限定的迎春花展。
- 更推荐去净慈寺打卡南屏晚钟，还有与雷峰塔合影的最佳机位。
- 苏堤乘坐观光车是首选，在雷峰塔坐2站经苏堤，可以直接到达少年宫（断桥）。

**✅老杭州历史人文Citywalk（图3）**
- 大马弄（美食）→胡雪岩故居（有梅花）→南宋德寿宫遗址博物馆→十五奎巷→鼓楼→南宋御街→河坊街→城皇阁→吴山广场

- 德寿宫新增了贪吃蛇和“杭州”字样的打卡点，胡雪岩故居在它对面，现在梅花盛开，非常适合带老人游览。
- 南宋御街和河坊街新增了许多新春元素，充满年味。
- 吴山广场有庙会和灯会，爬上坡可以登上城隍阁。

**✅京杭大运河Citywalk（图4）**
- 香积寺→大兜路历史街区→拱宸桥→桥西历史文化街区→小河公园→小河直街

- 香积寺是唐风寺庙，大兜路是清末明初的历史街区。
- 拱宸桥有运河博物馆，桥西有四个景点。

**✅新杭州奥体钱塘江一日游（图5）**
- 空中花园→莲荷里→亚运会博物馆→城市阳台→灯光秀

- 空中花园是G20峰会地点，现已免费，初四开放，杭州之门有隐藏机位。
- 莲荷里是商场，可以享用中餐，地面层可以打卡大莲花，旁边就是亚运会博物馆，也可以去钱塘江边。
- 地铁一站到江对面的砂之船奥莱，可以晚餐购物，晚上在城市阳台观看灯光秀。时间：除夕至正月初七（1月28日至2月4日），每天18:30和19:30各播放一场。

---

更多线路和补充内容请查看评论区，欢迎大家补充。如果有任何问题，欢迎在评论区提问，我会尽力解答。"
"来杭州游玩，一些很适合散步拍照的Citywalk好去处；如果你喜欢街拍记录城市的美好，可以考虑这些地方！以下是一份杭州18个适合街拍摄影的拍照圣地合集推荐，真的很出片哦！喜欢的话可以收藏起来，说不定以后会用到。

1. 清河坊历史文化街区
2. 南宋御街
3. 五柳巷
4. 长河老街历史街区
5. 小河直街
6. 馒头山社区
7. 羊坝头
8. 白塔公园
9. 大兜路历史街区
10. 钱江世纪公园
11. 杭州湖滨银泰in77
12. 丝联166文创园
13. 粮仓艺术公园
14. 东巢艺术公园
15. 德寿宫
16. 经纬国际创意产业园
17. 十五奎巷
18. RS酒店/摄影基地

#杭州 #杭州旅游 #周末去哪儿 #杭州拍照 #景点打卡 #旅游攻略 #citywalk #拍照圣地 #旅行推荐官"
"不早点告诉我，这个地方真的很时髦。老厂房的风格非常适合拍照。这里有初口、伴奏者、fun.d、sassi西餐、icake、香香食局、斟酌茶馆、白丁行者 Peach Mo、宠物事务所、also studio……集合了精酿、音乐、咖啡、展览、西餐厅、中餐网红店，非常适合度过周末。今天新开了一家迷笛live，气氛非常热烈。周末还有运河音乐节和市集，免费入场。

时间表如下：
- 12月28日：马飞/野肆/大布偶/柠檬派对
- 12月29日：钢心/黑甜一枕/VANTA/Dummy Toys/Dog Slayer

地点在地铁5号线运河天地附近的运河天地。 

#杭州周末去哪儿 #总要去听一次音乐节 #杭州市集 #杭州旅游 #音乐节 #live #citywalk #发现城市好去处"
"如果你不想去西湖感受人挤人的热闹场景，又想体验杭州的历史文化底蕴，那么这条沿着运河的城市漫步路线非常合适。你可以沿着运河边散步，欣赏江南水乡的民居风情。

这次我妈妈来杭州看我，我们已经习惯了西湖的人潮拥挤，所以我为她制定了一条有趣的运河漫步路线。全程走下来非常有意思。

🚶 **关于路线**
- 拱宸桥 ➡ 桥西历史文化街区 ➡ 小河直街 ➡ 小河公园 ➡ 大兜路 ➡ 香积寺 ➡ 富义仓遗址公园 ➡ 杭州文二菜场

📷 **关于打卡点**

✅ **大兜路 & 香积寺**
- 历史街区和宋代风格的寺庙，非常适合慢慢游览。

✅ **拱宸桥 & 桥西历史文化街区**
- “一座拱宸桥，半部杭州史”，这里是了解京杭大运河文化的绝佳地点。桥西的历史文化街区还有刀剪剑博物馆，可以了解各种非遗工艺的发展历史，里面还设有张小泉的展厅，详细展示了这个历史悠久的品牌的发展历程。

✅ **小河公园**
- 由著名设计师隈研吾设计，将传统工业区改造成了一个现代化公园，环境优美。

✅ **小河直街**
- 清末民初的历史建筑，现在被改造成各种文艺小店，非常适合拍照留念。

✅ **杭州文二菜场**
- 改造后的菜场不仅美观而且富有设计感，还可以喝咖啡。我还带妈妈去逛了菜场，恰好遇到杭州老字号张小泉在举办活动，送妈妈们礼物庆祝母亲节。这让我感到十分贴心。

走在菜市场里，我们看到了活动的条幅，老字号张小泉对于喜欢研究厨具的妈妈来说简直是个老朋友。他们展示了一套流线几何月影套刀，4件刀具加1把剪刀和刀架，6件套专刀专用，可以防止切瓜时串味。看到这些产品，我立刻买了一套带回家，确保今年夏天吃的瓜不会串味。

母亲节即将到来，作为一个经常旅行的博主，这次难得的居家时光，我想和妈妈一起度过。本周五在文二菜场，张小泉将继续举行母亲节活动，请妈妈们吃瓜。记得带上妈妈一起来参加活动，拍下照片，领取漂亮的“妈妈需要夸夸”购物袋！

#出门过夏天 #杭州citywalk #杭州拍照 #杭州旅游 #周末去哪儿 #张小泉请妈妈吃瓜 #母亲节快乐 #张小泉流线几何 #张小泉套刀 #张小泉月影"
"1. 兔子线 - 22公里，爬升1148米，下降1126米。岔口较多，混合路况。从苏堤春晓与北山路开始，沿途经过天竺山、山峰、寺庙、野路和景区，还能穿过茶园。
2. 标毅线 - 24公里，爬升1180米，下降1164米。这是2002年由一群徒步爱好者首次串联的西湖群山路线，后来被称为""标毅线""。
3. 玫瑰线 - 21公里，爬升41米，下降41米。这是一条纯休闲路线，可以逛遍西湖。如果掐准时间，在白堤可以看到落日和蓝调时刻。
4. 龙线 - 24公里，爬升1182米，下降1166米。这是一条热门的混合路线，有很多折返路段。
5. 爱心线 - 21公里，爬升656米，下降638米。这条路线因其形状类似爱心而得名，是一条浪漫且美丽的散步路线，沿着西湖湖畔展开。
6. 寺庙线 - 17公里，爬升393米，下降385米。这条路线连接了16座寺庙，是一条不错的城市路线，只有上北高峰时会有较大的爬升。"
"终于快要放假啦！冬日来杭州玩不仅可以欣赏冬日独有的西湖美景，还有一些小众的文艺街区值得一逛。

### 游玩路线
1. **天水拾里步行街-狮虎桥路-武林路-孩儿巷-中山北路-屏风街**
   - 这些是年轻人爱去的有趣街区，有很多小店，氛围感满满。武林夜市一到晚上就非常热闹。
   
2. **小河直街-大兜路-拱宸桥历史街区**
   - 工作日去人少又好逛，拍照也很出片。可以从武林码头坐船到大兜路，再一路逛过去，真的喜欢运河边的氛围。
   
3. **北山路-断桥-白堤-孤山路-银泰in77**
   - 我最爱这一带，虽然不算是小众，但每次去都非常喜欢。特别是秋冬的北山路，氛围感十足，尤其是日落时分，西湖任何时候都很美。
   
4. **长河历史街区-创意园**
   - 每次去长河都感叹人少，旁边的韩系创意园也很好逛，值得拍拍拍。
   
5. **南宋御街-大井巷-十五奎巷-五柳巷-鼓楼-馒头山**
